,,Stage,Wk,Game,Pts,T.Pts,P.Pts,PPM,Adj.VP,P?,0k,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,4ks,5ks,TOP3,TOP2,TOP1,1.5R2,1.75R2,2.0R2,PR Avg.,W/L,Game Start VP,Game End VP
100 Thieves,Asuna,Kickoff,,G1,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G2,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G3,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G4,6,3,3,2.0,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G5,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G6,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G7,4,2,2,1.33,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G8,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G9,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G10,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G11,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G12,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G13,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G14,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Kickoff,,G15,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
