Team,Player,Stage,Wk,Game,Pts,T.Pts,P.Pts,PPM,Adj.VP,P?,0k,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,4ks,5ks,6ks,7ks,TOP3,TOP2,TOP1,1.5R2,1.75R2,2.0R2,PR Avg.,W/L,Game Start VP,Game End VP
100 Thieves,Asuna,Kickoff,W1,UR1,13,5,8,6.5,12.5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8.0,W,9.261425724,12.61171008
100 Thieves,Asuna,Kickoff,W1,UQF,8,2,6,2.67,11.5,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0,L,12.61171008,11.37724662
100 Thieves,Asuna,Kickoff,W1,LR1,6,1,5,2.0,10.5,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,11.37724662,10.45202385
100 Thieves,Asuna,Kickoff,W2,USF,0,0,0,0.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,10.45202385,10.45202385
100 Thieves,Asuna,Kickoff,W2,LR2,0,0,0,0.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,10.45202385,10.45202385
100 Thieves,Asuna,Kickoff,W2,LR3,0,0,0,0.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,10.45202385,10.45202385
100 Thieves,Asuna,Kickoff,W3,UF,0,0,0,0.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,10.45202385,10.45202385
100 Thieves,Asuna,Kickoff,W3,LR4,0,0,0,0.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,10.45202385,10.45202385
100 Thieves,Asuna,Kickoff,W3,LF,0,0,0,0.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,10.45202385,10.45202385
100 Thieves,Asuna,Kickoff,W3,GF,0,0,0,0.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,10.45202385,10.45202385
100 Thieves,Asuna,bangkok,W1,SR1,0,0,0,0.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,10.45202385,10.45202385
100 Thieves,Asuna,bangkok,W1,SR2,0,0,0,0.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,L,10.45202385,10.45202385
