Player,Team,Region,Role,Price
aspas,MIBR,AMER,D,15
Kaajak,FNATIC,EMEA,D,15
something,Paper Rex,PAC,D,15
mada,NRG Esports,AMER,D,14.5
Alfajer,FNATIC,EMEA,D,14.5
Jinggg,Paper Rex,PAC,D,14.5
t3xture,Gen.G,PAC,D,14.5
OXY,Cloud9,AMER,D,14
Sato,LEVIATAN,AMER,D,14
jawgemo,G2 Esports,AMER,D,14
Derke,Team Vitality,EMEA,D,14
HYUNMIN,DRX,PAC,D,14
f0rsaken,Paper Rex,PAC,C,14
Keiko,NRG Esports,AMER,C,13.5
Zekken,MIBR,AMER,C,13.5
Wo0t,Team Heretics,EMEA,D,13.5
Jemkin,Rex Regum Qeon,PAC,D,13.5
Buzz,T1,PAC,D,13.5
leaf,G2 Esports,AMER,I,13
ara,GIANTX,EMEA,D,13
Primmie,FULL SENSE,PAC,D,13
Meteor,T1,PAC,S,13
nAts,Team Liquid,EMEA,S,12.5
Miniboo,Team Liquid,EMEA,D,12.5
RieNs,Team Heretics,EMEA,I,12.5
Comeback,Team Heretics,EMEA,D,12.5
Meiy,Detonation FocusMe,PAC,D,12.5
N4RRATE,Sentinels,AMER,D,12
Keznit,ENVY,AMER,D,11.5
valyn,G2 Esports,AMER,C,11.5
Ruxic,Natus Vincere,EMEA,C,11.5
LewN,Karmine Corp,EMEA,D,11.5
d4v41,Paper Rex,PAC,S,11.5
iZu,T1,PAC,D,11.5
Cryocells,100 Thieves,AMER,S,11
Chronicle,Team Vitality,EMEA,S,11
Dambi,Nongshim RedForce,PAC,D,11
invy,Paper Rex,PAC,I,11
Timotino,100 Thieves,AMER,D,10.5
Reduxx,Sentinels,AMER,D,10.5
Lukxo,LOUD,AMER,S,10.5
Cortezia,Sentinels,AMER,C,10.5
brawk,NRG Esports,AMER,I,10.5
trent,G2 Esports,AMER,I,10.5
Dantedeu5,KRU Esports,AMER,D,10.5
dgzin,Evil Geniuses,AMER,D,10.5
bipo,Gentle Mates,EMEA,D,10.5
purp0,Team Liquid,EMEA,D,10.5
SUYGETSU,Karmine Corp,EMEA,C,10.5
Avez,Karmine Corp,EMEA,I,10.5
xeus,FUT Esports,EMEA,D,10.5
Udotan,Global Esports,PAC,D,10.5
Thyy,FULL SENSE,PAC,D,10.5
Zexy,VARREL,PAC,D,10.5
Hermes,DRX,PAC,D,10.5
PxS,LEVIATAN,AMER,D,10
Verno,MIBR,AMER,I,10
cNed,PCIFIC Esports,EMEA,D,10
Marteen,Gentle Mates,EMEA,D,10
Crashies,FNATIC,EMEA,I,10
Alym,FURIA,AMER,D,9.5
Less,KRU Esports,AMER,S,9.5
virtyy,LOUD,AMER,D,9.5
skuba,NRG Esports,AMER,S,9.5
Ethan,NRG Esports,AMER,I,9.5
hiro,Natus Vincere,EMEA,S,9.5
Lovers rock,BBL Esports,EMEA,D,9.5
Absol,ZETA DIVISION,PAC,D,9.5
