Player,Team,Region,Role,Position,Price
Alfajer,FNATIC,EMEA,Sentinel,S,13.5
leaf,G2 Esports,AMER,Sentinel,S,12.5
Meteor,T1,PAC,Sentinel,S,12
hiro,Natus Vincere,EMEA,Sentinel,S,11.5
Chronicle,Team Vitality,EMEA,Sentinel,S,11.5
d4v41,Paper Rex,PAC,Sentinel,S,11
nAts,Team Liquid,EMEA,Sentinel,S,11
Cryocells,100 Thieves,AMER,Sentinel,S,10.5
Minny,Gentle Mates,EMEA,Sentinel,S,10.5
Demon1,ENVY,AMER,Sentinel,S,10
Karon,Gen.G,PAC,Sentinel,S,10
Ivy,Nongshim RedForce,PAC,Sentinel,S,10
Lukxo,LOUD,AMER,Sentinel,S,9.5
skuba,NRG Esports,AMER,Sentinel,S,9.5
Udotan,Global Esports,PAC,Sentinel,S,9
SUYGETSU,Karmine Corp,EMEA,Sentinel,S,9
benjyfishy,Team Heretics,EMEA,Sentinel,S,9
Westside,GIANTX,EMEA,Sentinel,S,8.5
Less,KRÜ Esports,AMER,Sentinel,S,8.5
Xffero,Rex Regum Qeon,PAC,Sentinel,S,8.5
Cortezia,Sentinels,AMER,Sentinel,S,8.5
Spike,LEVIATÁN,AMER,Sentinel,S,8
Tex,MIBR,AMER,Sentinel,S,8
Crewen,BBL Esports,EMEA,Sentinel,S,7.5
caedye,Detonation FocusMe,PAC,Sentinel,S,7.5
Free1ng,DRX,PAC,Sentinel,S,7.5
Jitboys,FULL SENSE,PAC,Sentinel,S,7.5
Yetujey,FUT Esports,EMEA,Sentinel,S,7.5
nerve,FURIA,AMER,Sentinel,S,7
Klaus,VARREL,PAC,Sentinel,S,7
Bao,Evil Geniuses,AMER,Sentinel,S,6.5
al0rante,PCIFIC Esports,EMEA,Sentinel,S,6.5
Zellsis,Cloud9,AMER,Sentinel/Initiator,S,6
echo,Eternal Fire,EMEA,Sentinel,S,6
SyouTa,ZETA DIVISION,PAC,Sentinel,S,6
BerserX,Team Secret,PAC,Sentinel,S,5.5
invy,Paper Rex,PAC,Initiator,I,11.5
trent,G2 Esports,AMER,Initiator,I,11
RieNs,Team Heretics,EMEA,Initiator,I,11
Wo0t,Team Heretics,EMEA,Duelist,I,10.5
eeiu,FURIA,AMER,Initiator,I,10
Xross,Nongshim RedForce,PAC,Initiator,I,10
Sayonara,Team Vitality,EMEA,Initiator,I,10
Verno,MIBR,AMER,Initiator,I,9.5
brawk,NRG Esports,AMER,Initiator,I,9.5
Crashies,FNATIC,EMEA,Initiator,I,9
N4RRATE,Karmine Corp,EMEA,Initiator,I,8.5
Jamppi,Team Vitality,EMEA,Initiator,I,8.5
Asuna,100 Thieves,AMER,Initiator,I,8
Killua,FULL SENSE,PAC,Initiator,I,8
cloud,GIANTX,EMEA,Initiator,I,8
Avez,Karmine Corp,EMEA,Duelist,I,8
ethan,NRG Esports,AMER,Initiator,I,8
Kushy,Rex Regum Qeon,PAC,Initiator,I,8
JonahP,Sentinels,AMER,Initiator,I,8
Vora,100 Thieves,AMER,Initiator,I,7.5
Xeppaa,Cloud9,AMER,Initiator,I,7.5
BeYN,DRX,PAC,Initiator,I,7.5
starxo,Gentle Mates,EMEA,Initiator,I,7.5
Kr1stal,Global Esports,PAC,Initiator,I,7.5
purp0,Team Liquid,EMEA,Duelist,I,7.5
XuNa,VARREL,PAC,Initiator,I,7.5
Rosé,BBL Esports,EMEA,Initiator,I,7
Hermes,DRX,PAC,Duelist,I,7
Flickless,GIANTX,EMEA,Sentinel,I,7
blowz,LEVIATÁN,AMER,Initiator,I,7
Chloric,Natus Vincere,EMEA,Initiator,I,7
seven,PCIFIC Esports,EMEA,Initiator,I,7
Stax,T1,PAC,Initiator,I,7
Akame,Detonation FocusMe,PAC,Initiator,I,6.5
P0PPIN,ENVY,AMER,Initiator,I,6.5
nekky,Eternal Fire,EMEA,Initiator,I,6.5
qRaxs,FUT Esports,EMEA,Duelist,I,6.5
mwzera,KRÜ Esports,AMER,Initiator,I,6.5
Darker,LOUD,AMER,Initiator,I,6.5
C0M,Evil Geniuses,AMER,Initiator,I,6
Krostaly,FUT Esports,EMEA,Controller,I,6
cauanzin,LOUD,AMER,Initiator,I,6
Lakia,Gen.G,PAC,Initiator,I,5.5
NINJA,PCIFIC Esports,EMEA,Initiator,I,5.5
Xdll,ZETA DIVISION,PAC,Initiator,I,5.5
Jessievash,Team Secret,PAC,Initiator,I,5
Marteen,Gentle Mates,EMEA,Duelist,D,15
Dambi,Nongshim RedForce,PAC,Duelist,D,15
Kaajak,FNATIC,EMEA,Duelist,D,14.5
aspas,MIBR,AMER,Duelist,D,14.5
