year,stage,label,n,pearson_r,mae
2024,Stage 1,v2_baseline,168,0.4281040999248378,3.0636009327973617
2024,Stage 1,v3_role_eb_only,168,0.41166085441971545,3.08514288291074
2024,Stage 1,v3_b_floor_only,168,0.41170582909835823,3.079190501958359
2024,Stage 1,v3_team_form_only,168,0.4000851698530948,3.0847649539613826
2024,Stage 1,v3_continuity_only,168,0.4107254636262933,3.079190501958359
2024,Stage 1,v3_star_cap_only,168,0.4121701883425502,3.08514288291074
2024,Stage 1,v3_region_q_only,168,0.38588261260274576,3.0264788617467184
2024,Stage 1,v3_full,168,0.40059768062983225,3.054587327355184
2024,Stage 2,v2_baseline,171,0.5287409423595336,3.0031212289984217
2024,Stage 2,v3_role_eb_only,171,0.5206466401413273,2.9914253225656733
2024,Stage 2,v3_b_floor_only,171,0.5158055326699015,2.9972732757820477
2024,Stage 2,v3_team_form_only,171,0.26803179022761026,3.357864568829482
2024,Stage 2,v3_continuity_only,171,0.5232550907423696,2.9738814629165504
2024,Stage 2,v3_star_cap_only,171,0.49874751463269035,3.1035110925461806
2024,Stage 2,v3_region_q_only,171,0.4534239009877976,2.996103685138773
2024,Stage 2,v3_full,171,0.22324402122877424,3.318228441474056
2025,Kickoff,v2_baseline,182,0.24933935003050806,3.0638736263736264
2025,Kickoff,v3_role_eb_only,182,0.18928020512975774,3.1516025641025642
2025,Kickoff,v3_b_floor_only,182,0.18819547001244458,3.1516025641025642
2025,Kickoff,v3_team_form_only,182,-0.09015342452318134,3.407188644688645
2025,Kickoff,v3_continuity_only,182,0.13463887238250685,3.2318223443223446
2025,Kickoff,v3_star_cap_only,182,0.16430370745600273,3.158470695970696
2025,Kickoff,v3_region_q_only,182,0.1813253084828766,3.139697802197802
2025,Kickoff,v3_full,182,-0.10881701470501129,3.3640567765567764
2025,Stage 1,v2_baseline,188,0.5344381873092369,2.582849966227626
2025,Stage 1,v3_role_eb_only,188,0.546259303413707,2.545615923674434
2025,Stage 1,v3_b_floor_only,188,0.5403065127248278,2.5562542215467747
2025,Stage 1,v3_team_form_only,188,0.3852539508860346,2.769678740290442
2025,Stage 1,v3_continuity_only,188,0.5376353371316659,2.5558996116176966
2025,Stage 1,v3_star_cap_only,188,0.5443067718104657,2.599736153326579
2025,Stage 1,v3_region_q_only,188,0.5113120959096984,2.631005150287065
2025,Stage 1,v3_full,188,0.3522201249683324,2.8564821850726103
2025,Stage 2,v2_baseline,184,0.561882767366068,2.4869963219148006
2025,Stage 2,v3_role_eb_only,184,0.5600947436407986,2.479530357927097
2025,Stage 2,v3_b_floor_only,184,0.5545427023227425,2.4934878678085197
2025,Stage 2,v3_team_form_only,184,0.46657731989172924,2.5727239397076356
2025,Stage 2,v3_continuity_only,184,0.5424710070052012,2.501528287533722
2025,Stage 2,v3_star_cap_only,184,0.5216353609605666,2.603068142606186
2025,Stage 2,v3_region_q_only,184,0.4864858859281687,2.5356333129430952
2025,Stage 2,v3_full,184,0.3878864046768663,2.619825388982998
2026,Kickoff,v2_baseline,188,0.35631717281639735,2.750050658561297
2026,Kickoff,v3_role_eb_only,188,0.334648605027149,2.8030395136778106
2026,Kickoff,v3_b_floor_only,188,0.33526874469382667,2.800759878419452
2026,Kickoff,v3_team_form_only,188,0.23117092543264436,3.062272036474164
2026,Kickoff,v3_continuity_only,188,0.32214581809585996,2.7962006079027355
2026,Kickoff,v3_star_cap_only,188,0.3237184191630729,2.8514690982776085
2026,Kickoff,v3_region_q_only,188,0.34156913088963275,2.724696048632218
2026,Kickoff,v3_full,188,0.19445565221560393,3.080711752786221
2026,Santiago,v2_baseline,50,0.3202574657040596,2.905
2026,Santiago,v3_role_eb_only,50,0.27903155619800457,3.003571428571428
2026,Santiago,v3_b_floor_only,50,0.311935438218512,2.9435714285714285
2026,Santiago,v3_team_form_only,50,0.2908989595063564,3.002142857142857
2026,Santiago,v3_continuity_only,50,0.2263486686635775,3.1335714285714285
2026,Santiago,v3_star_cap_only,50,0.311935438218512,2.9435714285714285
2026,Santiago,v3_region_q_only,50,0.311935438218512,2.9435714285714285
2026,Santiago,v3_full,50,0.2701593841882287,3.047857142857142
2026,Stage 1,v2_baseline,168,0.38335309519343497,2.5939484126984125
2026,Stage 1,v3_role_eb_only,168,0.37699539090047285,2.6094246031746033
2026,Stage 1,v3_b_floor_only,168,0.387447887788902,2.5987103174603177
2026,Stage 1,v3_team_form_only,168,0.2491229203753613,2.7915674603174603
2026,Stage 1,v3_continuity_only,168,0.3753790254022622,2.612996031746032
2026,Stage 1,v3_star_cap_only,168,0.40954424647729204,2.697519841269841
2026,Stage 1,v3_region_q_only,168,0.3620957805525405,2.5862103174603175
2026,Stage 1,v3_full,168,0.23482316988203664,2.809424603174603
