,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VFL 2026 STAGE 1 PRICE TOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,D,I,C,S,,,,,,,,,,,,
,Confirmed Change,Rumourmil,,Viper Senti,Avg. Cost,9.091666667,,Avg. Cost Aim,,9.09,,5,11.21,7.72,8.07,8.83,,,,,,,,,,,,
,Player Info,,,,Stage 1,,Santiago,,,,,Kickoff Stats,,,,,,,,,,,,,,,,
,Player,Team,Region,Position,Position,Final Cost,Price,Wk Avg.,PPG,VLR R,KPR,Price,3 Game,PPG,VLR R,KPR,,,,,,,,,,,,
,Marteen,Gentle Mates,EMEA,Duelist,D,15,11.5,26.50,13.25,1.41,0.95,10.00,61,16.20,1.27,0.91,,,,,,,,,,,,
,Dambi,Nongshim RedForce,PAC,Duelist,D,15,11.5,26.00,13.00,1.11,0.85,11.00,50,16.00,1.11,0.86,,,,,,,,,,,,
,Kaajak,FNATIC,EMEA,Duelist,D,14.5,,,,,,15.00,36,9,0.95,0.73,,,,,,,,,,,,
,aspas,MIBR,AMER,Duelist,D,14.5,,,,,,15.00,32,10,0.98,0.72,,,,,,,,,,,,
,mada,NRG Esports,AMER,Duelist,D,14.5,10.5,19.67,9.71,1,0.74,14.50,40,9.67,1.08,0.78,,,,,,,,,,,,
,Derke,Team Vitality,EMEA,Duelist,D,14,,,,,,14.00,50,10.83,1.11,0.82,,,,,,,,,,,,
,Alfajer,FNATIC,EMEA,Sentinel,S,13.5,,,,,,14.50,51,12.43,1.17,0.84,,,,,,,,,,,,
,Primmie,FULL SENSE,PAC,Duelist,D,13.5,,,,,,13.00,52,11.40,1.23,0.95,,,,,,,,,,,,
,jawgemo,G2 Esports,EMEA,Duelist,D,13.5,9.5,21.00,10.57,1.04,0.84,14.00,43,10.00,0.85,0.65,,,,,,,,,,,,
,t3xture,Gen.G,PAC,Duelist,D,13.5,,,,,,14.50,33,9.25,0.98,0.78,,,,,,,,,,,,
,Jinggg,Paper Rex,PAC,Duelist,D,13.5,9.5,19.33,8.00,1.02,0.74,14.50,34,8.86,1.04,0.74,,,,,,,,,9.03,8.5,9.09,8.31
,something,Paper Rex,PAC,Duelist,D,13.5,10.5,23.00,9.25,1.03,0.71,15.00,38,8.14,0.94,0.69,,,,,,,,,230,61,184,61
,Jemkin,Rex Regum Qeon,PAC,Duelist,D,13.5,,,,,,13.50,43,11.60,1.13,0.82,,,,,,,,,2,,1,
,f0rsaken,Paper Rex,PAC,Controller,C,13.5,11.5,20.67,8.75,0.96,0.71,14.00,57,11.43,1.09,0.8,,,,,,,,,3,,2,
,Lovers rock,BBL Esports,EMEA,Duelist,D,13,11,20.00,7.00,0.93,0.68,9.50,51,15.25,1.18,0.89,,,,,,,,,5,,3,
,OXY,Cloud9,AMER,Sentinel,D,13,,,,,,14.00,45,8.60,1.06,0.85,,,,,,,,,5,,4,
,Meiy,Detonation FocusMe,PAC,Duelist,D,13,,,,,,12.50,35,7.86,1.09,0.85,,,,,,,,,7,,5,
,HYUNMIN,DRX,PAC,Duelist,D,13,,,,,,14.00,38,10.00,1.05,0.81,,,,,,,,,8,1,6,1
,Sato,LEVIATÁN,AMER,Duelist,D,13,,,,,,14.00,34,6.80,0.9,0.69,,,,,,,,,10,2,7,2
,iZu,T1,PAC,Duelist,D,13,10,19.00,8.67,1.14,0.87,11.50,49,12.33,1.14,0.82,,,,,,,,,10,2,8,2
,leaf,G2 Esports,AMER,Sentinel,S,12.5,9.5,16.00,8.29,0.99,0.72,13.00,44,11.20,1.04,0.73,,,,,,,,,12,3,10,3
,koalanoob,FURIA,AMER,Duelist,D,12.5,10,11.00,5.50,0.9,0.68,6.50,47,14.25,1.16,0.86,,,,,,,,,13,3,12,3
,Miniboo,Team Liquid,EMEA,Duelist,D,12.5,9.5,13.00,4.67,0.81,0.65,12.50,47,10.75,1.09,0.81,,,,,,,,,15,4,13,4
,valyn,G2 Esports,EMEA,Controller,C,12.5,10,13.67,7.43,1.04,0.66,11.50,47,11.60,1.18,0.81,,,,,,,,,15,5,15,5
,Zekken,MIBR,AMER,Duelist/Controller,C,12.5,,,,,,13.50,35,10,1.03,0.69,,,,,,,,,20,5,15,5
,Keiko,NRG Esports,AMER,Controller,C,12.5,9,21.33,10.57,1.11,0.79,13.50,38,8.83,1.07,0.73,,,,,,,,,15,5,15,5
,Meteor,T1,PAC,Sentinel,S,12,10,14.00,5.00,0.77,0.6,13.00,49,11.67,1.05,0.82,,,,,,,,,15,6,13,6
,Timotino,100 Thieves,AMER,Duelist,D,12,,,,,,10.50,41,8.75,0.93,0.75,,,,,,,,,13,7,12,7
,Lar0k,BBL Esports,EMEA,Duelist,D,12,10,21.00,8.00,1.07,0.78,8.50,44,13.00,1.07,0.81,,,,,,,,,12,6,10,6
,Francis,Nongshim RedForce,PAC,Duelist,D,12,9,23.00,11.50,1.08,0.78,8.00,36,11.25,0.94,0.71,,,,,,,,,10,4,8,4
,BuZz,T1,PAC,Duelist,D,12,10,17.00,6.67,0.98,0.76,13.50,46,12.00,1,0.78,,,,,,,,,10,3,7,3
,hiro,Natus Vincere,EMEA,Sentinel,S,11.5,,,,,,9.50,43,9.80,1.3,0.87,,,,,,,,,10,2,6,3
