Player,Team,Position,generated_vp,combined_score
skuba,NRG Esports,S,15.0,0.525358378915577
BABYBAY,G2 Esports,S,15.0,0.5376151344626341
leaf,G2 Esports,I,14.5,0.524457246564332
t3xture,Gen.G,D,14.5,0.5025440218662484
f0rsaken,Paper Rex,C,14.5,0.5117764232961499
Dambi,Nongshim RedForce,D,14.0,0.49276584181748456
Kaajak,FNATIC,D,14.0,0.49758652359410166
mada,NRG Esports,D,13.5,0.49081516663857433
Cryocells,100 Thieves,S,13.5,0.47940115604581385
Keiko,NRG Esports,C,13.5,0.4893046703662756
d4v41,Paper Rex,S,13.5,0.48151320564347644
something,Paper Rex,D,13.0,0.4751230091681354
Xross,Nongshim RedForce,C,13.0,0.4728886840640664
Alfajer,FNATIC,D,13.0,0.4747839128777074
valyn,G2 Esports,C,13.0,0.47475026403878906
trent,G2 Esports,I,12.5,0.4709158203188752
Ivy,Nongshim RedForce,S,12.5,0.44929527670533176
Karon,Gen.G,S,12.5,0.4598156006675695
Jinggg,Paper Rex,D,12.5,0.46089805792398963
jawgemo,G2 Esports,D,12.5,0.4727992692651595
Marteen,Gentle Mates,D,12.0,0.4461730823824919
HYUNMIN,DRX,D,12.0,0.4319591522819652
LewN,Karmine Corp,D,12.0,0.4448384242003343
dgzin,Evil Geniuses,D,12.0,0.43422918390539517
Francis,Nongshim RedForce,D,12.0,0.43079070314603773
brawk,NRG Esports,I,12.0,0.4419283755693501
Meteor,T1,S,11.5,0.4141937545663535
Zekken,MIBR,C,11.5,0.4212856947024771
Veqaj,FNATIC,C,11.5,0.406936901984784
Lar0k,BBL Esports,D,11.5,0.4073493277252559
OXY,Cloud9,D,11.5,0.41682308266175705
Derke,Team Vitality,D,11.5,0.4222013262111519
Rb,Nongshim RedForce,I,11.0,0.40624140260885055
Munchkin,T1,C,11.0,0.40129602975226975
Ruxic,Natus Vincere,C,11.0,0.40085374804484497
Buzz,T1,D,11.0,0.4037147309492844
Crashies,FNATIC,I,11.0,0.4039458416208872
Lovers rock,BBL Esports,D,11.0,0.40063647143180686
Avez,Karmine Corp,I,11.0,0.40374678810943243
v1c,Cloud9,C,10.5,0.39231871956028547
aspas,MIBR,D,10.5,0.3983722581100045
Sato,LEVIATAN,D,10.5,0.40007070662312516
Timotino,100 Thieves,D,10.5,0.39121468525994046
PROFEK,Team Vitality,C,10.5,0.39673766973147273
Patmen,Global Esports,S,10.5,0.39780818951745034
Ash,Gen.G,C,10.5,0.3997501711958221
iZu,T1,D,10.5,0.4004502494232415
Benjyfishy,Team Heretics,S,10.0,0.3740196188472272
starxo,Gentle Mates,I,10.0,0.3808750815586945
Primmie,FULL SENSE,D,10.0,0.3768238258600172
JohnQT,Sentinels,C,10.0,0.38316331303108264
Free1ng,DRX,S,10.0,0.3789881696843148
MaKo,DRX,C,10.0,0.3910813459771971
Ethan,NRG Esports,I,10.0,0.3760397723461563
Jemkin,Rex Regum Qeon,D,10.0,0.3765940708496588
invy,Paper Rex,I,10.0,0.3813536782907962
Meiy,Detonation FocusMe,D,10.0,0.3817253115801442
nAts,Team Liquid,S,10.0,0.38882346795664297
hiro,Natus Vincere,S,10.0,0.37570022440758327
SUYGETSU,Karmine Corp,C,9.5,0.3594912247316917
RieNs,Team Heretics,I,9.5,0.36634783301615526
Inspire,ENVY,S,9.5,0.3617747963382619
Bao,Evil Geniuses,S,9.5,0.3481125607431754
bang,100 Thieves,C,9.5,0.36345510455083285
Asuna,100 Thieves,I,9.5,0.3466034225126047
N4RRATE,Sentinels,D,9.5,0.3618743109859562
Reduxx,Sentinels,D,9.5,0.37138699806529146
Lukxo,LOUD,S,9.5,0.35050191438105005
Keznit,ENVY,D,9.5,0.35324243632725205
Dos9,Karmine Corp,C,9.5,0.3486989491959767
Wo0t,Team Heretics,D,9.5,0.35197438514441337
Rosé,BBL Esports,I,9.5,0.3697872787292751
Minny,Gentle Mates,S,9.5,0.3701647832541643
xeus,FUT Esports,D,9.5,0.35949501456948335
ZynX,Gen.G,D,9.5,0.34444802162279203
kamo,Team Liquid,I,9.5,0.3589432041810136
Vora,100 Thieves,I,9.5,0.36554995684545555
kingg,LEVIATAN,C,9.0,0.3376737259117444
Zellsis,Cloud9,C,9.0,0.30980912475909134
Udotan,Global Esports,D,9.0,0.3402780654775135
Autumn - AUS,Global Esports,D,9.0,0.3255700788363821
Killua,FULL SENSE,I,9.0,0.3349447511148898
Monyet,Rex Regum Qeon,C,9.0,0.3158198714111963
GLYPH,Gentle Mates,C,9.0,0.3422951390141053
SociablEE,Natus Vincere,I,9.0,0.3301317355006435
Comeback,Team Heretics,D,9.0,0.331225768719411
Stax,T1,I,9.0,0.3318091415218276
Miniboo,Team Liquid,D,9.0,0.3339755092582381
Loita,BBL Esports,C,9.0,0.3389679912555457
eeiu,FURIA,I,9.0,0.31026855692265953
Less,KRU Esports,S,9.0,0.34426491824287275
Cortezia,Sentinels,C,9.0,0.34130679309734463
bipo,Gentle Mates,D,9.0,0.33691988091876596
Rossy,ENVY,C,9.0,0.31347949818677134
Yatsuka,Detonation FocusMe,S,8.5,0.2990642206093996
Caedye,Detonation FocusMe,C,8.5,0.29737099107857545
Lakia,Gen.G,I,8.5,0.28979592192055803
Kushy,Rex Regum Qeon,I,8.5,0.3066608624316106
Xffero,Rex Regum Qeon,S,8.5,0.2913768164494426
Yetujey,FUT Esports,S,8.5,0.2922651722336147
supamen,Evil Geniuses,C,8.5,0.28892314837681227
koalanoob,FURIA,S,8.5,0.29962497224461837
Demur,Eternal Fire,D,8.5,0.3022214073747161
Beyn,DRX,I,8.5,0.3055698137745341
Penny,Cloud9,D,8.5,0.2987032275853541
Boaster,FNATIC,C,8.5,0.2973908987795227
Thyy,FULL SENSE,D,8.5,0.2871443708537509
purp0,Team Liquid,D,8.0,0.27194475551052266
Mazino,MIBR,I,8.0,0.286059499243119
Verno,MIBR,I,8.0,0.28646612467015836
Eggsterr,ENVY,D,8.0,0.2763841456665234
Okeanos,Evil Geniuses,D,8.0,0.2783392331335688
ara,GIANTX,D,8.0,0.2788759269890967
KROSTALY,FUT Esports,I,8.0,0.28055689630415287
Crewen,BBL Esports,S,8.0,0.2794748526250907
Kr1stal,Global Esports,I,7.5,0.2454600579242106
Kyu,Sentinels,I,7.5,0.26695977882779554
Spike,LEVIATAN,C,7.5,0.25514849176134335
Tex,MIBR,S,7.5,0.27126032906999703
Unfake,Team Vitality,I,7.5,0.26207214210545265
cloud,GIANTX,I,7.5,0.26074569909157885
Shao,Natus Vincere,I,7.5,0.2686360070436447
Jitboys,FULL SENSE,S,7.5,0.26905123784253926
Westside,GIANTX,S,7.5,0.26232262263985506
Akame,Detonation FocusMe,D,7.5,0.2557057972140422
Boo,Team Heretics,C,7.5,0.2669439567225693
Hermes,DRX,D,7.5,0.24829301674004242
Flickless,GIANTX,I,7.5,0.24605598617161512
BerserX,Team Secret,S,7.0,0.22503297787428195
SSeeS,Detonation FocusMe,I,7.0,0.22718202685350888
blowz,LEVIATAN,I,7.0,0.23067994472244496
Alym,FURIA,D,7.0,0.23469130752417044
P0PPIN,ENVY,I,7.0,0.22860421485682506
C0M,Evil Geniuses,I,7.0,0.22135451797065372
Saadhak,KRU Esports,C,7.0,0.22227132320697698
Leviathan,FULL SENSE,C,7.0,0.23259135057952618
MrFalin,FUT Esports,I,7.0,0.22490357717291132
Grubinho,GIANTX,C,7.0,0.22494027084304893
seven,PCIFIC Esports,S,7.0,0.24366411783943992
al0rante,PCIFIC Esports,C,7.0,0.2376815314940587
Zexy,VARREL,D,7.0,0.23766039940665037
SugarZ3ro,ZETA DIVISION,C,6.5,0.21291970393807727
Sylvan,Team Secret,C,6.5,0.1963331790082994
Sheydos,Karmine Corp,I,6.5,0.21263421034483682
nerve,FURIA,C,6.5,0.20436323357893943
Cauanzin,LOUD,I,6.5,0.20346052615880347
crazyguy,Rex Regum Qeon,I,6.5,0.19607330565799572
pancada,LOUD,C,6.5,0.19831868581290796
Filu,Natus Vincere,D,6.5,0.21905525839178763
Dantedeu5,KRU Esports,D,6.5,0.19462600813403683
kellyS,Team Secret,D,6.0,0.14692013347070876
silentzz,KRU Esports,C,6.0,0.14805069493407985
eko,ZETA DIVISION,D,6.0,0.15176855305367254
virtyy,LOUD,D,6.0,0.14909721326443834
mwzera,KRU Esports,I,6.0,0.17029498214725045
cNed,PCIFIC Esports,D,6.0,0.16593647415466123
XuNa,VARREL,I,6.0,0.18266444520712685
Xdll,ZETA DIVISION,I,6.0,0.18580270768632937
Pxs,LEVIATAN,D,5.5,0.1285772089997214
Darker,LOUD,I,5.5,0.12361491706724777
audaz,Eternal Fire,C,5.5,0.13972595282926153
Favian,Eternal Fire,I,5.5,0.12463595282926157
NINJA,PCIFIC Esports,I,5.5,0.13150357321970446
SyouTa,ZETA DIVISION,S,5.5,0.14100418198042936
TenTen,Team Secret,D,5.5,0.13875756002590947
Absol,ZETA DIVISION,D,5.5,0.11664884117729929
Klaus,VARREL,S,5.5,0.11880929885201119
qpert,PCIFIC Esports,C,5.0,0.07310282696915292
nekky,Eternal Fire,I,5.0,0.1159395891928979
oonzmlp,VARREL,D,5.0,0.09712032711543145
C1ndeR,VARREL,C,5.0,0.06451153177689027
