Player,Team,Position,generated_vp,games_total,games_2026,uncertainty
jawgemo,G2 Esports,D,14.5,62,12,
leaf,G2 Esports,I,14.5,76,12,
Marteen,Gentle Mates,D,14.5,47,9,
Dambi,Nongshim RedForce,D,14.0,27,8,
Kaajak,FNATIC,D,14.0,41,7,
Alfajer,FNATIC,D,14.0,69,7,
t3xture,Gen.G,D,14.0,68,4,
Keiko,NRG Esports,C,13.5,61,13,
aspas,MIBR,D,13.5,63,5,
Cryocells,100 Thieves,S,13.5,50,8,
mada,NRG Esports,D,13.0,38,13,
trent,G2 Esports,I,13.0,83,12,
Derke,Team Vitality,D,13.0,55,6,
f0rsaken,Paper Rex,C,13.0,80,15,
Zekken,MIBR,C,13.0,67,5,
HYUNMIN,DRX,D,12.5,37,6,
Meteor,T1,S,12.5,80,9,
Francis,Nongshim RedForce,D,12.5,27,8,
Karon,Gen.G,S,12.5,68,4,
Buzz,T1,D,12.5,65,9,
valyn,G2 Esports,C,12.5,83,12,
BABYBAY,G2 Esports,S,12.5,19,12,
Ivy,Nongshim RedForce,S,12.5,27,8,
skuba,NRG Esports,S,12.5,29,13,
OXY,Cloud9,D,12.0,39,5,
LewN,Karmine Corp,D,12.0,26,4,
iZu,T1,D,12.0,60,9,
Jemkin,Rex Regum Qeon,D,12.0,47,5,
Jinggg,Paper Rex,D,12.0,71,15,
d4v41,Paper Rex,S,12.0,80,15,
something,Paper Rex,D,11.5,80,15,
Primmie,FULL SENSE,D,11.5,31,5,
nAts,Team Liquid,S,11.5,59,11,
MaKo,DRX,C,11.0,61,6,
dgzin,Evil Geniuses,D,11.0,14,5,
Ruxic,Natus Vincere,C,11.0,24,5,
Free1ng,DRX,S,11.0,37,6,
PROFEK,Team Vitality,C,11.0,28,6,
Xross,Nongshim RedForce,C,11.0,8,8,
Patmen,Global Esports,S,11.0,34,6,
Minny,Gentle Mates,S,11.0,23,9,
bang,100 Thieves,C,10.5,62,8,
v1c,Cloud9,C,10.5,26,7,
Munchkin,T1,C,10.5,73,9,
Avez,Karmine Corp,I,10.5,19,4,
Rb,Nongshim RedForce,I,10.5,16,8,
Meiy,Detonation FocusMe,D,10.5,34,7,
Miniboo,Team Liquid,D,10.5,69,11,
JohnQT,Sentinels,C,10.5,66,4,
Crashies,FNATIC,I,10.5,54,7,
starxo,Gentle Mates,I,10.5,24,9,
Less,KRU Esports,S,10.5,40,0,
xeus,FUT Esports,D,10.5,20,3,
kingg,LEVIATAN,C,10.5,51,5,
brawk,NRG Esports,I,10.5,35,13,
Veqaj,FNATIC,C,10.0,12,7,
Stax,T1,I,10.0,55,9,
koalanoob,FURIA,S,10.0,16,6,
hiro,Natus Vincere,S,10.0,38,5,
kamo,Team Liquid,I,10.0,60,11,
Sato,LEVIATAN,D,10.0,13,5,
Yetujey,FUT Esports,S,10.0,46,3,
Dos9,Karmine Corp,C,10.0,18,4,
Benjyfishy,Team Heretics,S,10.0,73,6,
RieNs,Team Heretics,I,9.5,73,6,
Beyn,DRX,I,9.5,50,6,
Ash,Gen.G,C,9.5,24,4,
Lukxo,LOUD,S,9.5,11,3,
Lovers rock,BBL Esports,D,9.5,7,7,
Wo0t,Team Heretics,D,9.5,64,6,
SUYGETSU,Karmine Corp,C,9.5,34,4,
Xffero,Rex Regum Qeon,S,9.5,47,5,
Lar0k,BBL Esports,D,9.5,7,7,
Ethan,NRG Esports,I,9.0,51,13,
eeiu,FURIA,I,9.0,48,6,
Reduxx,Sentinels,D,9.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Bao,Evil Geniuses,S,9.0,5,5,
N4RRATE,Sentinels,D,9.0,58,4,
Cortezia,Sentinels,C,9.0,32,4,
Keznit,ENVY,D,9.0,44,5,
Timotino,100 Thieves,D,9.0,8,8,
Killua,FULL SENSE,I,9.0,22,5,
Kushy,Rex Regum Qeon,I,9.0,34,5,
SociablEE,Natus Vincere,I,9.0,27,5,
Monyet,Rex Regum Qeon,C,9.0,49,5,
Udotan,Global Esports,D,9.0,19,6,
invy,Paper Rex,I,9.0,44,15,
GLYPH,Gentle Mates,C,9.0,9,9,
Loita,BBL Esports,C,9.0,7,7,
supamen,Evil Geniuses,C,9.0,34,5,
Inspire,ENVY,S,9.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Yatsuka,Detonation FocusMe,S,8.5,7,7,
ZynX,Gen.G,D,8.5,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Caedye,Detonation FocusMe,C,8.5,7,7,
bipo,Gentle Mates,D,8.5,9,9,
Verno,MIBR,I,8.5,30,5,
ara,GIANTX,D,8.5,23,5,
Comeback,Team Heretics,D,8.5,11,6,
KROSTALY,FUT Esports,I,8.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Mazino,MIBR,I,8.5,53,5,
Vora,100 Thieves,I,8.5,8,8,
Tex,MIBR,S,8.5,51,5,
Asuna,100 Thieves,I,8.5,50,8,
Thyy,FULL SENSE,D,8.0,22,5,
Penny,Cloud9,D,8.0,12,7,
Okeanos,Evil Geniuses,D,8.0,13,5,
BerserX,Team Secret,S,8.0,17,3,
Rosé,BBL Esports,I,8.0,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Unfake,Team Vitality,I,8.0,12,6,
Crewen,BBL Esports,S,8.0,7,7,
seven,PCIFIC Esports,S,8.0,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
MrFalin,FUT Esports,I,8.0,46,3,
Boo,Team Heretics,C,8.0,73,6,
al0rante,PCIFIC Esports,C,7.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Rossy,ENVY,C,7.5,27,5,
Leviathan,FULL SENSE,C,7.5,5,5,
Zellsis,Cloud9,C,7.5,69,7,
Kyu,Sentinels,I,7.5,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Eggsterr,ENVY,D,7.5,5,5,
Alym,FURIA,D,7.5,6,6,
cNed,PCIFIC Esports,D,7.5,34,3,
purp0,Team Liquid,D,7.5,28,11,
Jitboys,FULL SENSE,S,7.5,45,5,
Grubinho,GIANTX,C,7.0,43,5,
Hermes,DRX,D,7.0,6,6,
Zexy,VARREL,D,7.0,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Autumn - AUS,Global Esports,D,7.0,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Kr1stal,Global Esports,I,7.0,19,6,
nerve,FURIA,C,7.0,6,6,
blowz,LEVIATAN,I,7.0,5,5,
Cauanzin,LOUD,I,7.0,37,3,
Spike,LEVIATAN,C,7.0,10,5,
Westside,GIANTX,S,7.0,29,5,
P0PPIN,ENVY,I,7.0,5,5,
pancada,LOUD,C,7.0,22,3,
Demur,Eternal Fire,D,7.0,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
audaz,Eternal Fire,C,7.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
cloud,GIANTX,I,7.0,41,5,
Shao,Natus Vincere,I,7.0,39,5,
SugarZ3ro,ZETA DIVISION,C,7.0,31,4,
Akame,Detonation FocusMe,D,7.0,22,7,
XuNa,VARREL,I,7.0,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Flickless,GIANTX,I,7.0,23,5,
Darker,LOUD,I,6.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
eko,ZETA DIVISION,D,6.5,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Boaster,FNATIC,C,6.5,70,7,
nekky,Eternal Fire,I,6.5,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Lakia,Gen.G,I,6.5,43,4,
Dantedeu5,KRU Esports,D,6.5,6,0,HIGH UNCERTAINTY
Favian,Eternal Fire,I,6.5,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Sheydos,Karmine Corp,I,6.5,26,4,
Saadhak,KRU Esports,C,6.0,35,0,
Filu,Natus Vincere,D,6.0,17,5,
NINJA,PCIFIC Esports,I,6.0,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
C0M,Evil Geniuses,I,6.0,51,5,
Sylvan,Team Secret,C,6.0,19,3,
Absol,ZETA DIVISION,D,6.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
C1ndeR,VARREL,C,5.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
virtyy,LOUD,D,5.5,8,3,
Xdll,ZETA DIVISION,I,5.5,16,4,
TenTen,Team Secret,D,5.5,8,3,
qpert,PCIFIC Esports,C,5.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
oonzmlp,VARREL,D,5.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
silentzz,KRU Esports,C,5.0,12,0,
mwzera,KRU Esports,I,5.0,14,0,
Pxs,LEVIATAN,D,5.0,6,2,MEDIUM UNCERTAINTY
Klaus,VARREL,S,5.0,14,3,
crazyguy,Rex Regum Qeon,I,5.0,36,5,
kellyS,Team Secret,D,5.0,16,3,
SSeeS,Detonation FocusMe,I,5.0,25,7,
SyouTa,ZETA DIVISION,S,5.0,11,4,
