Player,Team,Region,Role,SuggestedVP,Uncertainty,UncertainFlag,UncertaintyReason,N_Games,N_Stage1,N_Intl,BaseValue,AdjValue,RegionFactor,ObsMean,Shrunk,WeightedAvg,RecentMean
jawgemo,G2 Esports,AMER,D,11.0,0.0,N,-,60,17,31,10.43,10.67,1.023,10.38,10.12,10.2,9.53
valyn,G2 Esports,AMER,I,9.5,0.0,N,-,93,17,46,9.31,9.52,1.023,8.75,8.65,9.06,8.88
leaf,G2 Esports,AMER,S,9.5,0.0,N,-,86,17,46,9.44,9.66,1.023,9.58,9.43,9.63,8.06
trent,G2 Esports,AMER,D,9.0,0.0,N,-,93,17,46,9.12,9.33,1.023,8.84,8.73,9.03,8.35
babybay,G2 Esports,AMER,C,9.0,0.0,N,-,29,17,12,9.2,9.41,1.023,9.14,8.78,9.07,8.47
Neon,LEVIATÁN,AMER,I,13.0,0.0,N,-,12,9,3,11.88,12.16,1.023,11.17,9.91,11.56,12.33
Sato,LEVIATÁN,AMER,C,11.5,0.0,N,-,22,9,5,10.76,11.01,1.023,10.59,9.9,10.48,10.33
spikeziN,LEVIATÁN,AMER,D,9.0,0.0,N,-,14,9,5,9.19,9.4,1.023,8.0,7.62,8.57,9.89
kiNgg,LEVIATÁN,AMER,I,7.5,0.0,N,-,60,9,21,8.2,8.39,1.023,7.82,7.72,7.68,8.0
blowz,LEVIATÁN,AMER,S,7.0,0.0,N,-,14,9,5,7.98,8.16,1.023,7.07,6.91,7.45,8.33
Keiko,NRG Esports,AMER,C,10.5,0.0,N,-,22,16,13,9.9,10.13,1.023,9.5,8.99,9.51,9.75
mada,NRG Esports,AMER,D,10.0,0.0,N,-,47,16,22,9.65,9.87,1.023,9.94,9.64,9.54,8.5
brawk,NRG Esports,AMER,I,9.5,0.0,N,-,44,16,19,9.27,9.48,1.023,9.07,8.83,9.05,8.62
skuba,NRG Esports,AMER,S,8.5,0.0,N,-,38,16,19,8.63,8.83,1.023,8.76,8.52,8.52,7.69
Ethan,NRG Esports,AMER,I,6.5,0.0,N,-,47,16,22,7.35,7.52,1.023,7.17,7.1,7.11,6.81
vo0kashu,Dragon Ranger Gaming,CN,D,8.5,0.15,N,CN_competition_gap,27,11,7,9.12,8.93,0.979,8.78,8.45,8.89,8.73
SpiritZ1,Dragon Ranger Gaming,CN,I,7.5,0.15,N,CN_competition_gap,27,11,7,8.35,8.18,0.979,8.15,7.9,8.06,7.91
Life,Dragon Ranger Gaming,CN,C,6.0,0.15,N,CN_competition_gap,27,11,10,6.93,6.78,0.979,6.93,6.85,6.62,6.36
Nicc,Dragon Ranger Gaming,CN,I,6.0,0.15,N,CN_competition_gap,29,11,9,6.59,6.46,0.979,6.24,6.26,6.31,6.27
Flex1n,Dragon Ranger Gaming,CN,S,6.0,0.15,N,CN_competition_gap,27,11,7,6.56,6.43,0.979,6.33,6.34,6.24,6.18
ZmjjKK,EDward Gaming,CN,D,10.0,0.15,N,CN_competition_gap,31,12,21,10.11,9.9,0.979,9.32,8.96,9.77,10.08
Smoggy,EDward Gaming,CN,I,8.5,0.15,N,CN_competition_gap,31,12,21,9.09,8.9,0.979,8.26,8.03,8.8,9.08
CHICHOO,EDward Gaming,CN,S,8.5,0.15,N,CN_competition_gap,31,12,21,8.75,8.57,0.979,8.1,7.89,8.59,8.5
Jieni7,EDward Gaming,CN,I,7.0,0.55,Y,thin_sample_10;CN_low_intl_history,10,10,0,8.14,7.97,0.979,7.9,7.44,7.9,7.9
nobody,EDward Gaming,CN,C,5.5,0.15,N,CN_competition_gap,31,12,21,6.16,6.03,0.979,5.71,5.79,5.97,5.83
happywei,Xi Lai Gaming,CN,C,10.0,0.15,N,CN_competition_gap,30,13,11,10.12,9.91,0.979,10.1,9.63,10.03,9.31
Rarga,Xi Lai Gaming,CN,D,7.5,0.15,N,CN_competition_gap,30,13,11,8.39,8.21,0.979,8.43,8.18,8.32,7.54
Lysoar,Xi Lai Gaming,CN,S,7.5,0.15,N,CN_competition_gap,17,13,6,8.57,8.39,0.979,8.71,8.24,8.55,7.77
WsLeo,Xi Lai Gaming,CN,S,7.0,0.15,N,CN_competition_gap,17,13,6,7.84,7.68,0.979,7.94,7.62,7.85,7.0
NoMan,Xi Lai Gaming,CN,D,6.0,0.15,N,CN_competition_gap,28,13,9,7.08,6.93,0.979,7.32,7.19,7.13,6.0
s0pp,FUT Esports,EMEA,I,10.5,0.7,Y,only_3_games;only_0_intl_games,3,3,0,10.64,10.32,0.97,11.0,8.28,11.0,11.0
xeus,FUT Esports,EMEA,C,8.5,0.0,N,-,28,8,7,9.24,8.96,0.97,8.75,8.43,8.8,9.12
sociablEE,FUT Esports,EMEA,I,7.0,0.0,N,-,35,8,9,8.04,7.8,0.97,8.11,7.92,8.0,7.12
Yetujey,FUT Esports,EMEA,S,6.5,0.0,N,-,54,8,18,7.66,7.43,0.97,6.98,6.94,7.14,7.75
KROSTALY,FUT Esports,EMEA,D,5.5,0.25,N,thin_sample_11,11,8,3,5.5,5.33,0.97,5.0,5.38,5.08,5.25
koshmaras,Team Heretics,EMEA,C,12.0,0.45,Y,thin_sample_6;only_0_intl_games,6,6,0,11.67,11.31,0.97,11.83,9.56,11.83,11.83
Wo0t,Team Heretics,EMEA,D,9.5,0.0,N,-,75,11,34,9.97,9.66,0.97,8.76,8.63,9.04,10.64
RieNs,Team Heretics,EMEA,I,9.5,0.0,N,-,84,11,40,9.81,9.51,0.97,8.46,8.36,8.82,10.64
benjyfishy,Team Heretics,EMEA,S,7.5,0.0,N,-,84,11,40,8.78,8.51,0.97,8.04,7.95,8.13,8.91
