Player,Team,actual_ppg,games,Manual,Algo1_Combined,Algo2_v2
Marteen,Gentle Mates,8.2,5,15.0,15.0,15.0
Dambi,Nongshim RedForce,9.2,5,15.0,15.0,15.0
Kaajak,FNATIC,11.8,5,14.5,13.5,14.5
aspas,MIBR,6.6,5,14.5,8.5,15.0
mada,NRG Esports,7.2,5,14.5,12.5,14.0
Derke,Team Vitality,10.0,5,14.0,13.5,12.0
Alfajer,FNATIC,10.6,5,13.5,15.0,14.5
Primmie,FULL SENSE,11.6,5,13.5,11.0,13.0
jawgemo,G2 Esports,6.4,5,13.5,14.5,13.0
t3xture,Gen.G,8.6,5,13.5,13.0,12.5
Jinggg,Paper Rex,14.4,5,13.5,11.0,11.5
something,Paper Rex,12.0,5,13.5,12.0,11.5
Jemkin,Rex Regum Qeon,12.4,5,13.5,11.5,15.0
f0rsaken,Paper Rex,9.0,5,13.5,11.5,12.5
Lovers rock,BBL Esports,5.2,5,13.0,9.5,15.0
OXY,Cloud9,8.2,5,13.0,12.5,11.5
Meiy,Detonation FocusMe,12.2,5,13.0,10.0,9.0
HYUNMIN,DRX,8.6,5,13.0,13.5,13.0
Sato,LEVIATÁN,9.4,5,13.0,9.5,11.5
iZu,T1,10.8,5,13.0,14.0,13.5
leaf,G2 Esports,6.6,5,12.5,12.5,11.0
koalanoob,FURIA,6.0,5,12.5,9.5,14.0
Miniboo,Team Liquid,9.0,5,12.5,9.0,10.0
valyn,G2 Esports,8.4,5,12.5,12.5,10.0
Zekken,MIBR,7.4,5,12.5,10.0,13.0
Keiko,NRG Esports,7.6,5,12.5,13.5,14.5
Meteor,T1,7.2,5,12.0,12.0,12.5
Timotino,100 Thieves,7.6,5,12.0,11.0,9.5
Lar0k,BBL Esports,5.8,5,12.0,10.5,13.5
Francis,Nongshim RedForce,9.6,5,12.0,14.5,13.0
hiro,Natus Vincere,9.2,5,11.5,13.0,9.5
Chronicle,Team Vitality,6.6,5,11.5,13.0,12.0
invy,Paper Rex,8.4,5,11.5,11.0,11.0
BABYBAY,G2 Esports,9.8,5,11.5,12.5,11.0
Neon,LEVIATÁN,11.2,5,11.5,10.5,9.5
Comeback,Team Heretics,5.75,4,11.5,11.5,8.5
kamo,Team Liquid,8.4,5,11.5,9.5,8.5
Ruxic,Natus Vincere,8.8,5,11.5,10.5,11.0
d4v41,Paper Rex,8.6,5,11.0,12.5,11.5
nAts,Team Liquid,8.6,5,11.0,9.5,9.0
trent,G2 Esports,8.0,5,11.0,13.0,9.5
RieNs,Team Heretics,9.0,5,11.0,10.0,8.5
Keznit,ENVY,7.8,5,11.0,11.0,9.5
dgzin,Evil Geniuses,7.4,5,11.0,12.5,12.0
Autumn,Global Esports,5.4,5,11.0,12.0,12.0
Reduxx,Sentinels,9.0,5,11.0,12.0,6.5
Cryocells,100 Thieves,10.4,5,10.5,10.5,10.0
Minny,Gentle Mates,5.8,5,10.5,10.0,9.5
Wo0t,Team Heretics,7.6,5,10.5,9.5,8.5
xeus,FUT Esports,10.2,5,10.5,10.5,8.0
ara,GIANTX,7.8,5,10.5,7.5,8.5
LewN,Karmine Corp,6.8,5,10.5,14.0,12.0
Veqaj,FNATIC,9.0,3,10.5,13.5,11.5
Demon1,ENVY,6.2,5,10.0,14.5,9.5
Karon,Gen.G,6.8,5,10.0,12.5,11.0
Ivy,NOngshim RedForce,8.0,5,10.0,14.5,12.5
eeiu,FURIA,7.0,5,10.0,10.0,9.0
Xross,Nongshim RedForce,9.6,5,10.0,14.0,14.0
Sayonara,Team Vitality,7.2,5,10.0,9.0,8.0
