Player,Year,Team,Region,reg_avg,reg_n,intl_avg,intl_n
2GE,2025,Team Secret,PAC,3.2,5,4.5,2
AAAAY,2026,FunPlus Phoenix,CN,7.8,5,6.0,3
ANGE1,2024,Natus Vincere,EMEA,4.5,12,5.0,3
ANGE1,2025,Natus Vincere,EMEA,4.882352941176471,17,3.0,2
Abo,2026,Titan Esports Club,CN,4.625,8,8.25,4
Absol,2026,ZETA DIVISION,PAC,7.8,5,4.25,4
Adverso,2025,KR Esports,?,3.0833333333333335,12,6.6,5
Akame,2025,Detonation FocusMe,PAC,5.454545454545454,11,6.25,4
Akame,2026,Detonation FocusMe,PAC,8.0,6,6.285714285714286,7
Akeman,2025,Dragon Ranger Gaming,CN,7.444444444444445,9,5.0,2
Alfajer,2024,FNATIC,EMEA,9.31578947368421,19,7.5,10
Alfajer,2026,FNATIC,EMEA,9.857142857142858,7,12.428571428571429,7
Alym,2026,FURIA,AMER,7.714285714285714,7,9.0,6
Anthem,2024,DetonatioN FocusMe,PAC,3.1,10,1.0,2
Apoth,2024,Evil Geniuses,AMER,3.8,10,7.0,2
Art,2025,Detonation FocusMe,PAC,0.4,5,5.0,4
Artzin,2025,MIBR,AMER,6.285714285714286,14,6.857142857142857,14
Ash,2025,Gen.G,PAC,7.866666666666666,15,7.0,5
Ash,2026,Gen.G,PAC,7.5,4,6.25,4
Asuna,2024,100 Thieves,AMER,7.117647058823529,17,6.0,6
Asuna,2025,100 Thieves,AMER,7.0,16,9.0,3
Asuna,2026,100 Thieves,AMER,6.888888888888889,9,5.5,8
AtaKaptan,2024,FUT Esports,EMEA,5.933333333333334,15,6.2727272727272725,11
AtaKaptan,2025,FUT Esports,EMEA,6.25,8,5.75,4
Autumn,2026,Global Esports,PAC,6.222222222222222,9,11.0,6
Avez,2025,Karmine Corp,EMEA,9.416666666666666,12,9.666666666666666,3
Avez,2026,Karmine Corp,EMEA,3.2,5,6.75,4
Avova,2025,Apeks,?,3.5,10,4.0,2
BABYBAY,2026,G2 Esports,AMER,9.5,10,8.666666666666666,12
BORKUM,2024,Team Secret,PAC,6.142857142857143,7,6.0,5
Bao,2026,Evil Geniuses,AMER,3.2,5,6.6,5
BeYN,2024,DRX,PAC,7.3125,16,7.0,5
BeYN,2025,DRX,PAC,7.0,8,7.333333333333333,15
Benjyfishy,2026,Team Heretics,EMEA,8.909090909090908,11,8.0,6
Benkai,2024,Global Esports,PAC,3.9,10,3.6666666666666665,3
BerLin,2026,FunPlus Phoenix,CN,3.8,5,2.6666666666666665,3
BerserX,2025,BOOM Esports,?,6.833333333333333,12,8.0,2
BerserX,2026,Team Secret,PAC,4.0,5,3.3333333333333335,3
Beyn,2026,DRX,PAC,5.0,8,6.666666666666667,6
BianK,2025,Trace Esports,CN,4.5,6,0.5,2
Boaster,2024,FNATIC,EMEA,5.315789473684211,19,3.2,10
Boaster,2025,FNATIC,EMEA,6.117647058823529,17,5.705882352941177,17
Boaster,2026,FNATIC,EMEA,6.0,7,4.428571428571429,7
Boo,2024,Team Heretics,EMEA,6.0,17,7.3478260869565215,23
Boo,2025,Team Heretics,EMEA,5.9375,16,3.3636363636363638,11
Boo,2026,Team Heretics,EMEA,8.090909090909092,11,5.0,6
Boostio,2024,100 Thieves,AMER,5.764705882352941,17,6.0,6
Boostio,2025,100 Thieves,AMER,5.375,8,4.333333333333333,3
Brave,2024,BBL Esports,EMEA,6.1,10,3.0,2
BuZz,2024,DRX,PAC,10.8125,16,8.75,8
Buzz,2025,T1,PAC,8.1875,16,11.4375,16
Buzz,2026,T1,PAC,10.0,8,10.222222222222221,9
C0M,2024,LEVIATÁN,AMER,6.352941176470588,17,5.3076923076923075,13
C0M,2025,LEVIATÁN,AMER,5.6923076923076925,13,6.333333333333333,3
C0M,2026,Evil Geniuses,AMER,1.5,4,4.8,5
C1ndeR,2026,VARREL,PAC,3.4,5,2.6666666666666665,3
CHICHOO,2025,Edward Gaming,CN,5.5,10,10.142857142857142,7
CHICHOO,2026,EDward Gaming,CN,9.9,10,7.222222222222222,9
CLZ,2025,Zeta Division,PAC,5.2,10,1.5,2
Caedye,2026,Detonation FocusMe,PAC,9.0,6,6.0,7
Cauanzin,2025,LOUD,AMER,5.3,10,7.75,4
Cauanzin,2026,LOUD,AMER,4.833333333333333,6,2.3333333333333335,3
Chronicle,2024,FNATIC,EMEA,8.368421052631579,19,6.7,10
Chronicle,2025,FNATIC,EMEA,9.058823529411764,17,10.058823529411764,17
Chronicle,2026,Team Vitality,EMEA,9.11111111111111,9,9.666666666666666,6
Click,2025,Gentle Mates,EMEA,4.6,5,9.5,4
Cloud,2024,GIANTX,EMEA,5.2,10,9.5,2
Cloud,2025,GIANTX,EMEA,6.5625,16,6.875,8
Coco,2026,Titan Esports Club,CN,7.0,8,7.5,4
Coconut,2025,Xi Lai Gaming,CN,5.875,8,1.8,5
Comeback,2026,Team Heretics,EMEA,5.75,4,7.333333333333333,6
Cortezia,2025,MIBR,AMER,8.428571428571429,14,7.142857142857143,14
Cortezia,2026,Sentinels,AMER,9.0,5,4.25,4
Crashies,2025,FNATIC,EMEA,8.882352941176471,17,7.823529411764706,17
Crashies,2026,FNATIC,EMEA,6.285714285714286,7,8.857142857142858,7
CrazyGuy,2025,Rex Regum Qeon,PAC,7.3,20,2.6,5
Crewen,2026,BBL Esports,EMEA,5.333333333333333,6,7.0,7
Crws,2024,TALON,?,4.071428571428571,14,2.2,5
Crws,2025,TALON,?,6.0588235294117645,17,3.0,4
Cryocells,2024,100 Thieves,AMER,9.117647058823529,17,8.0,6
Cryocells,2025,100 Thieves,AMER,9.625,16,10.666666666666666,3
Cryocells,2026,100 Thieves,AMER,8.333333333333334,9,9.375,8
DH,2025,T1,PAC,7.888888888888889,9,6.333333333333333,3
Dambi,2025,Nongshim RedForce,PAC,8.928571428571429,14,9.2,5
Dambi,2026,Nongshim RedForce,PAC,8.833333333333334,6,14.5,8
Darker,2026,LOUD,AMER,7.0,6,3.3333333333333335,3
Demon1,2024,NRG,?,6.166666666666667,6,8.0,3
Demon1,2025,LEVIATÁN,AMER,6.0,5,6.0,5
Demon1,2026,ENVY,AMER,6.2,5,12.333333333333334,3
Dep,2024,ZETA DIVISION,PAC,7.7,10,6.8,5
Dep,2025,Zeta Division,PAC,7.4,10,4.5,2
Derke,2024,FNATIC,EMEA,9.421052631578947,19,7.8,10
Derke,2025,Team Vitality,EMEA,7.166666666666667,12,13.375,8
