Player,Team,Region,Role,N_Games,BasePts,GW1,GW2,GW3,GW4,GW5,GW6,SeasonValue,SuggestedVP,ManualVP,Diff
Marteen,Gentle Mates,EMEA,D,24,12.06,12.26,12.39,12.24,11.39,11.7,0.0,59.98,15.0,15.0,0.0
Dambi,Nongshim RedForce,PAC,D,27,10.99,10.19,10.47,10.3,11.52,11.79,0.0,54.27,15.0,15.0,0.0
aspas,MIBR,AMER,D,63,10.46,0.0,9.65,11.17,10.51,10.34,11.53,53.2,15.0,14.5,0.5
Lovers rock,BBL Esports,EMEA,D,7,10.49,12.52,11.51,10.94,10.37,9.8,0.0,55.14,15.0,13.0,2.0
Jemkin,Rex Regum Qeon,PAC,D,47,10.02,10.73,11.95,9.89,10.4,10.37,0.0,53.34,15.0,13.5,1.5
Kaajak,FNATIC,EMEA,D,41,9.9,10.86,9.78,11.82,10.32,9.76,0.0,52.54,14.5,14.5,0.0
Alfajer,FNATIC,EMEA,S,36,9.7,10.64,9.59,11.58,10.12,9.57,0.0,51.5,14.5,13.5,1.0
Keiko,NRG Esports,AMER,C,47,9.92,0.0,10.95,10.2,9.85,10.15,9.52,50.67,14.5,12.5,2.0
koalanoob,FURIA,AMER,D,6,10.29,0.0,9.76,10.52,10.57,9.86,10.21,50.92,14.0,12.5,1.5
mada,NRG Esports,AMER,D,38,9.8,0.0,10.82,10.08,9.73,10.03,9.4,50.06,14.0,14.5,-0.5
Xross,Nongshim RedForce,PAC,I,8,10.26,9.52,9.77,9.62,10.76,11.01,0.0,50.68,14.0,10.0,4.0
iZu,T1,PAC,D,60,9.26,11.05,9.58,9.22,9.92,9.61,0.0,49.38,13.5,13.0,0.5
Lar0k,BBL Esports,EMEA,D,7,9.58,11.44,10.51,9.99,9.47,8.95,0.0,50.36,13.5,12.0,1.5
BuZz,T1,PAC,D,24,9.46,11.29,9.8,9.42,10.14,9.83,0.0,50.48,13.5,12.0,1.5
skuba,NRG Esports,AMER,S,13,9.39,0.0,10.36,9.65,9.32,9.61,9.01,47.95,13.5,9.5,4.0
HYUNMIN,DRX,PAC,D,37,9.81,10.28,9.18,10.52,9.2,9.1,0.0,48.28,13.0,13.0,0.0
Primmie,FULL SENSE,PAC,D,26,9.09,9.41,9.74,10.85,9.05,8.97,0.0,48.02,13.0,13.5,-0.5
jawgemo,G2 Esports,EMEA,D,24,9.16,0.0,9.38,9.06,9.78,10.1,9.2,47.52,13.0,13.5,-0.5
Francis,Nongshim RedForce,PAC,D,27,9.77,9.06,9.3,9.16,10.24,10.48,0.0,48.24,13.0,12.0,1.0
Zekken,MIBR,AMER,C,36,9.58,0.0,8.85,10.24,9.63,9.48,10.57,48.77,13.0,12.5,0.5
Meteor,T1,PAC,S,80,8.72,10.41,9.03,8.68,9.34,9.06,0.0,46.52,12.5,12.0,0.5
Rb,Nongshim RedForce,PAC,C,8,9.38,8.7,8.93,8.79,9.83,10.06,0.0,46.31,12.5,10.0,2.5
f0rsaken,Paper Rex,PAC,C,48,9.61,8.99,9.01,10.07,10.31,9.15,0.0,47.53,12.5,13.5,-1.0
t3xture,Gen.G,PAC,D,43,9.39,10.07,8.7,8.78,8.94,9.84,0.0,46.33,12.5,13.5,-1.0
Ivy,NOngshim RedForce,PAC,S,27,9.53,8.84,9.08,8.94,9.99,10.23,0.0,47.08,12.5,10.0,2.5
Autumn,Global Esports,PAC,D,6,9.57,8.97,10.04,9.12,8.88,8.95,0.0,45.96,12.0,11.0,1.0
dgzin,Evil Geniuses,AMER,D,14,9.11,0.0,9.04,10.05,8.74,8.65,9.36,45.84,12.0,11.0,1.0
