Player,Team,predicted_vp,algorithm
2GE,Team Secret,8.37131366441465,Baseline EMA
ANGE1,Natus Vincere,8.092335586248218,Baseline EMA
Adverso,KR Esports,10.235474207274569,Baseline EMA
Akame,Detonation FocusMe,10.176622159641063,Baseline EMA
Art,Detonation FocusMe,9.04492839411397,Baseline EMA
Artzin,MIBR,9.453221014034973,Baseline EMA
Asuna,100 Thieves,10.701007869444755,Baseline EMA
AtaKaptan,FUT Esports,9.400906294190428,Baseline EMA
Avez,Karmine Corp,10.022538369824904,Baseline EMA
Avova,Apeks,8.594496126947792,Baseline EMA
BeYN,DRX,9.448585120305426,Baseline EMA
BerserX,BOOM Esports,9.718080336763085,Baseline EMA
Boaster,FNATIC,9.295931430599833,Baseline EMA
Boo,Team Heretics,7.378214589418706,Baseline EMA
Boostio,100 Thieves,8.028059394488125,Baseline EMA
Buzz,T1,14.057542340837612,Baseline EMA
C0M,LEVIATµN,9.413955335539857,Baseline EMA
CLZ,Zeta Division,7.4297626506029495,Baseline EMA
Carpe,T1,8.113207144801423,Baseline EMA
Cauanzin,LOUD,9.887830699916314,Baseline EMA
Chronicle,FNATIC,9.562753366668977,Baseline EMA
Click,Gentle Mates,10.440614527786522,Baseline EMA
Cloud,GIANTX,10.035763896133282,Baseline EMA
Cortezia,MIBR,9.572514981453171,Baseline EMA
Crashies,FNATIC,8.961452629735092,Baseline EMA
Crws,TALON,6.4071742821095485,Baseline EMA
Cryocells,100 Thieves,11.519598339900224,Baseline EMA
Dambi,Nongshim RedForce,10.935177487666365,Baseline EMA
Demon1,LEVIATµN,10.656458728195478,Baseline EMA
Dep,Zeta Division,9.312864678226347,Baseline EMA
Derke,Team Vitality,13.951014919050554,Baseline EMA
Derrek,Evil Geniuses,9.612338230165545,Baseline EMA
Deryeon,Global Esports,8.05263103020843,Baseline EMA
Dos9,BOOM Esports,8.302266590068458,Baseline EMA
Elite,Karmine Corp,8.838505725058958,Baseline EMA
Estrella,Rex Regum Qeon,10.583855260320249,Baseline EMA
Famouz,BOOM Esports,9.976135059067031,Baseline EMA
Filu,KOI,9.39586065648086,Baseline EMA
Flashback,DRX,9.75619851291841,Baseline EMA
Flyuh,KOI,7.883102027623398,Baseline EMA
Foxy9,Gen.G,12.112174163681571,Baseline EMA
Francis,Nongshim RedForce,10.98153173437888,Baseline EMA
Free1ng,DRX,11.662622680625695,Baseline EMA
Gobera,2Game Esports,8.266696885102238,Baseline EMA
Governor,TALON,7.154236384045154,Baseline EMA
Grubinho,KOI,8.210203824273536,Baseline EMA
Gyen,Detonation FocusMe,9.787075613799999,Baseline EMA
HYUNMIN,DRX,11.086269082841742,Baseline EMA
INVY,Team Secret,8.44036073876084,Baseline EMA
Ivy,Nongshim RedForce,11.657462875334405,Baseline EMA
Jamppi,BBL Esports,9.619190257414827,Baseline EMA
Jawgemo,G2 Esports,14.77649511670438,Baseline EMA
Jemkin,Rex Regum Qeon,13.77739127836712,Baseline EMA
JessieVash,Team Secret,10.41552553217916,Baseline EMA
Jinboong,Detonation FocusMe,10.071303254293,Baseline EMA
Jinggg,Paper Rex,10.55782414514825,Baseline EMA
JitboyS,TALON,7.940126055752414,Baseline EMA
JohnQT,Sentinels,7.634512852080622,Baseline EMA
JonahP,G2 Esports,13.393972977042207,Baseline EMA
Jremy,Team Secret,9.18662709785604,Baseline EMA
Kaajak,FNATIC,12.818511793995485,Baseline EMA
Kada,Gentle Mates,9.970470934312763,Baseline EMA
Kamo,Team Liquid,10.81713568360017,Baseline EMA
Kamyk,Team Liquid,8.610555159118658,Baseline EMA
Karon,Gen.G,13.584132068362802,Baseline EMA
Keiko,Team Liquid,11.267183173423405,Baseline EMA
KellyS,Global Esports,9.283997137551731,Baseline EMA
Keznit,KR Esports,11.403451579667326,Baseline EMA
Khalil,FURIA,9.52209823685117,Baseline EMA
Kicks,Team Vitality,9.488768132069263,Baseline EMA
Koalanoob,Natus Vincere,8.971813977667887,Baseline EMA
Kr1stal,Global Esports,9.25225587441162,Baseline EMA
Kushy,Rex Regum Qeon,11.543717721141796,Baseline EMA
Leaf,G2 Esports,14.40894804619547,Baseline EMA
Less,Team Vitality,10.502809733701511,Baseline EMA
LewN,BBL Esports,9.213782684428343,Baseline EMA
MOLSI,Apeks,7.869153123715077,Baseline EMA
MaKo,DRX,8.57068192836853,Baseline EMA
Margaret,Nongshim RedForce,9.989586484436433,Baseline EMA
Marteen,Karmine Corp,10.134398479180511,Baseline EMA
Mazino,KR Esports,11.129637293744434,Baseline EMA
