Player,Team,Region,Role,Price
WsLeo,Xi Lai Gaming,CN,S,9.50
Lysoar,Xi Lai Gaming,CN,S,9.00
NoMan,Xi Lai Gaming,CN,D,8.00
Rarga,Xi Lai Gaming,CN,D,12.00
happywei,Xi Lai Gaming,CN,C,10.50
purp0,Team Liquid,EMEA,D,10.50
wayne,Team Liquid,EMEA,C,9.00
Miniboo,Team Liquid,EMEA,D,12.50
nAts,Team Liquid,EMEA,S,12.50
kamo,Team Liquid,EMEA,I,9.00
Stax,T1,PAC,I,8.00
Munchkin,T1,PAC,C,9.00
Buzz,T1,PAC,D,13.50
iZu,T1,PAC,D,11.50
Meteor,T1,PAC,S,13.00
Jinggg,Paper Rex,PAC,D,14.50
invy,Paper Rex,PAC,I,11.00
d4v41,Paper Rex,PAC,S,11.50
something,Paper Rex,PAC,D,15.00
f0rsaken,Paper Rex,PAC,C,14.00
Ethan,NRG Esports,AMER,I,9.50
skuba,NRG Esports,AMER,S,9.50
mada,NRG Esports,AMER,D,14.50
brawk,NRG Esports,AMER,I,10.50
Keiko,NRG Esports,AMER,C,13.50
Ivy,Nongshim RedForce,PAC,S,7.00
Francis,Nongshim RedForce,PAC,D,8.00
Xross,Nongshim RedForce,PAC,C,7.50
Rb,Nongshim RedForce,PAC,I,7.50
Dambi,Nongshim RedForce,PAC,D,11.00
GLYPH,Gentle Mates,EMEA,C,7.00
starxo,Gentle Mates,EMEA,I,7.00
bipo,Gentle Mates,EMEA,D,10.50
Minny,Gentle Mates,EMEA,S,8.00
Marteen,Gentle Mates,EMEA,D,10.00
trent,G2 Esports,EMEA,I,10.50
jawgemo,G2 Esports,EMEA,D,14.00
BABYBAY,G2 Esports,EMEA,S,9.00
leaf,G2 Esports,EMEA,I,13.00
valyn,G2 Esports,EMEA,C,11.50
nerve,FURIA,AMER,C,5.00
eeiu,FURIA,AMER,I,7.00
artzin,FURIA,AMER,C,6.00
Alym,FURIA,AMER,D,9.50
koalanoob,FURIA,AMER,S,6.50
nobody,EDward Gaming,CN,I,8.50
smoggy,EDward Gaming,CN,C,9.50
CB,EDward Gaming,CN,I,7.00
CHICHOO,EDward Gaming,CN,S,9.50
ZmjjKK,EDward Gaming,CN,D,12.00
Rose,BBL Esports,EMEA,I,5.50
Crewen,BBL Esports,EMEA,S,7.00
Loita,BBL Esports,EMEA,C,8.00
Lar0k,BBL Esports,EMEA,D,8.50
Lovers rock,BBL Esports,EMEA,D,9.50
Au1,All Gamers,CN,C,5.00
iamgrq,All Gamers,CN,C,6.00
K1ra,All Gamers,CN,S,10.00
Shr1mp,All Gamers,CN,I,8.50
f4ngeer,All Gamers,CN,D,8.00
